Pool;Event (EN);Event (RU);Men;Women;Rank;Is_Mixed;Period
SCM;100m Backstroke;На спине 100 м;50.54;57.36;МСМК;False;26.11.2024 – 31.12.9999
SCM;100m Backstroke;На спине 100 м;57.00;1:03.60;МС;False;26.11.2024 – 31.12.9999
SCM;100m Backstroke;На спине 100 м;1:00.40;1:08.50;КМС;False;26.11.2024 – 31.12.9999
SCM;100m Backstroke;На спине 100 м;1:04.40;1:13.00;I;False;26.11.2024 – 31.12.9999
SCM;100m Backstroke;На спине 100 м;1:12.60;1:21.10;II;False;26.11.2024 – 31.12.9999
SCM;100m Backstroke;На спине 100 м;1:21.10;1:31.10;III;False;26.11.2024 – 31.12.9999
SCM;100m Backstroke;На спине 100 м;1:33.60;1:45.10;Iю;False;26.11.2024 – 31.12.9999
SCM;100m Backstroke;На спине 100 м;1:56.10;2:08.10;IIю;False;26.11.2024 – 31.12.9999
SCM;100m Backstroke;На спине 100 м;2:16.10;2:28.10;IIIю;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;53.72;59.80;МСМК;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;58.50;1:06.00;МС;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;1:02.00;1:10.00;КМС;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;1:06.00;1:14.50;I;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;1:14.10;1:22.60;II;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;1:22.60;1:32.60;III;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;1:35.10;1:46.60;Iю;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;1:57.60;2:09.60;IIю;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;2:17.60;2:29.60;IIIю;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;57.34;1:05.05;МСМК;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;1:03.00;1:12.00;МС;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;1:06.90;1:16.00;КМС;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;1:11.40;1:21.00;I;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;1:20.10;1:29.60;II;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;1:28.10;1:41.60;III;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;1:44.10;2:06.10;Iю;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;2:03.10;2:16.10;IIю;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;2:23.10;2:37.10;IIIю;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;59.91;1:06.88;МСМК;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;1:04.50;1:13.50;МС;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;1:08.50;1:17.50;КМС;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;1:13.00;1:22.50;I;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;1:21.60;1:31.10;II;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;1:29.60;1:43.10;III;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;1:45.60;2:07.60;Iю;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;2:04.60;2:17.60;IIю;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;2:24.60;2:38.60;IIIю;False;26.11.2024 – 31.12.9999
SCM;100m Butterfly;Баттерфляй 100 м;50.15;57.16;МСМК;False;26.11.2024 – 31.12.9999
SCM;100m Butterfly;Баттерфляй 100 м;54.00;1:01.50;МС;False;26.11.2024 – 31.12.9999
