Pool,Event,Men_Base,Women_Base,Is_Mixed,Period
SCM,Mixed 4x50m Freestyle Relay,87.33,87.33,True,01.09.2025 – 31.08.2026
SCM,Mixed 4x50m Medley Relay,95.15,95.15,True,01.09.2025 – 31.08.2026
LCM,Mixed 4x100m Freestyle Relay,198.48,198.48,True,01.01.2026 – 31.12.2026
LCM,Mixed 4x100m Medley Relay,217.43,217.43,True,01.01.2026 – 31.12.2026
SCM,800m Freestyle,440.46,477.42,False,01.09.2025 – 31.08.2026
LCM,200m Breaststroke,125.48,137.55,False,01.01.2026 – 31.12.2026
LCM,400m Freestyle,219.96,234.18,False,01.01.2026 – 31.12.2026
LCM,800m Freestyle,452.12,484.12,False,01.01.2026 – 31.12.2026
LCM,1500m Freestyle,870.67,920.48,False,01.01.2026 – 31.12.2026
LCM,50m Backstroke,23.55,26.86,False,01.01.2026 – 31.12.2026
LCM,100m Backstroke,51.6,57.13,False,01.01.2026 – 31.12.2026
LCM,200m Backstroke,111.92,123.14,False,01.01.2026 – 31.12.2026
LCM,50m Breaststroke,25.95,29.16,False,01.01.2026 – 31.12.2026
LCM,100m Breaststroke,56.88,64.13,False,01.01.2026 – 31.12.2026
LCM,50m Butterfly,22.27,24.43,False,01.01.2026 – 31.12.2026
LCM,100m Freestyle,46.4,51.71,False,01.01.2026 – 31.12.2026
LCM,100m Butterfly,49.45,54.6,False,01.01.2026 – 31.12.2026
LCM,200m Butterfly,110.34,121.81,False,01.01.2026 – 31.12.2026
LCM,200m Medley,112.69,125.7,False,01.01.2026 – 31.12.2026
LCM,400m Medley,242.5,263.65,False,01.01.2026 – 31.12.2026
LCM,4x100m Freestyle Relay,188.24,207.96,False,01.01.2026 – 31.12.2026
LCM,4x200m Freestyle Relay,418.55,457.5,False,01.01.2026 – 31.12.2026
LCM,4x100m Medley Relay,206.78,229.34,False,01.01.2026 – 31.12.2026
SCM,200m Freestyle,98.61,110.31,False,01.09.2025 – 31.08.2026
LCM,200m Freestyle,102.0,112.23,False,01.01.2026 – 31.12.2026
LCM,50m Freestyle,20.91,23.61,False,01.01.2026 – 31.12.2026
SCM,1500m Freestyle,846.88,908.24,False,01.09.2025 – 31.08.2026
SCM,200m Butterfly,106.85,119.32,False,01.09.2025 – 31.08.2026
SCM,50m Backstroke,22.11,25.23,False,01.09.2025 – 31.08.2026
SCM,100m Backstroke,48.33,54.02,False,01.09.2025 – 31.08.2026
SCM,200m Backstroke,105.63,118.04,False,01.09.2025 – 31.08.2026
SCM,50m Breaststroke,24.95,28.37,False,01.09.2025 – 31.08.2026
SCM,100m Breaststroke,55.28,62.36,False,01.09.2025 – 31.08.2026
SCM,200m Breaststroke,120.16,132.5,False,01.09.2025 – 31.08.2026
SCM,50m Butterfly,21.32,23.94,False,01.09.2025 – 31.08.2026
SCM,100m Butterfly,47.71,52.71,False,01.09.2025 – 31.08.2026
SCM,100m Medley,49.28,55.11,False,01.09.2025 – 31.08.2026
SCM,400m Freestyle,212.25,230.25,False,01.09.2025 – 31.08.2026
SCM,200m Medley,108.88,121.63,False,01.09.2025 – 31.08.2026
SCM,400m Medley,234.81,255.48,False,01.09.2025 – 31.08.2026
SCM,4x50m Freestyle Relay,81.8,92.5,False,01.09.2025 – 31.08.2026
SCM,4x100m Freestyle Relay,181.66,205.01,False,01.09.2025 – 31.08.2026
SCM,4x200m Freestyle Relay,400.51,450.13,False,01.09.2025 – 31.08.2026
SCM,4x50m Medley Relay,89.72,102.35,False,01.09.2025 – 31.08.2026
SCM,4x100m Medley Relay,198.68,220.41,False,01.09.2025 – 31.08.2026
SCM,100m Freestyle,44.84,50.25,False,01.09.2025 – 31.08.2026
SCM,50m Freestyle,19.9,22.83,False,01.09.2025 – 31.08.2026
